date,close,ret,logret,sma,vol,drawdown,regime_A,regime_B,regime_C
2016-10-27,4836.44733732,-0.00496762,-0.00498000,4822.93740067,0.09477398,-0.01497390,Bull,Bull,Bull
2016-10-28,4805.59318573,-0.00637951,-0.00639994,4822.87558080,0.09273647,-0.02125788,Bear,Bear,Bull
2016-10-31,4801.27071159,-0.00089947,-0.00089987,4822.77823134,0.09264267,-0.02213823,Bear,Bear,Bull
2016-11-01,4766.93664649,-0.00715104,-0.00717673,4821.94580465,0.09546295,-0.02913096,Bear,Bear,Bull
2016-11-02,4726.90656189,-0.00839744,-0.00843290,4820.11434249,0.09726288,-0.03728378,Bear,Bear,Bear
2016-11-03,4679.10320427,-0.01011303,-0.01016452,4818.02669940,0.10184827,-0.04701976,Bear,Bear,Bear
2016-11-04,4660.45635139,-0.00398513,-0.00399310,4815.72732627,0.10208185,-0.05081751,Bear,Bear,Bear
2016-11-07,4773.72896908,0.02430505,0.02401438,4815.52802998,0.13565348,-0.02774758,Bear,Bear,Bull
2016-11-08,4804.91998957,0.00653389,0.00651264,4815.80470420,0.12830938,-0.02139499,Bear,Bear,Bull
2016-11-09,4825.18391561,0.00421733,0.00420846,4816.78848394,0.12923865,-0.01726789,Bull,Bull,Bull
2016-11-10,4747.02778922,-0.01619754,-0.01633016,4816.30794802,0.14139443,-0.03318574,Bear,Bear,Bear
2016-11-11,4751.95088476,0.00103709,0.00103655,4815.66819731,0.14138135,-0.03218307,Bear,Bear,Bear
2016-11-14,4702.04481940,-0.01050223,-0.01055776,4813.73427542,0.14564376,-0.04234730,Bear,Bear,Bear
2016-11-15,4764.47411988,0.01327705,0.01318969,4812.43351681,0.15011124,-0.02963249,Bear,Bear,Bull
2016-11-16,4792.26821651,0.00583361,0.00581666,4811.64165197,0.15193163,-0.02397174,Bear,Bear,Bull
2016-11-17,4826.58763641,0.00716141,0.00713589,4812.09344434,0.15428918,-0.01698200,Bull,Bull,Bull
2016-11-18,4808.04154856,-0.00384248,-0.00384989,4814.62357864,0.15408036,-0.02075923,Bear,Bear,Bull
2016-11-21,4858.99818905,0.01059821,0.01054244,4816.51049818,0.15270029,-0.01038103,Bull,Bull,Bull
2016-11-22,4873.84171346,0.00305485,0.00305020,4819.53044028,0.15269272,-0.00735789,Bull,Bull,Bull
2016-11-23,4853.86211577,-0.00409935,-0.00410778,4821.68642020,0.15170663,-0.01142708,Bull,Bull,Bull
2016-11-25,4870.01701195,0.00332826,0.00332273,4822.68882610,0.15100313,-0.00813686,Bull,Bull,Bull
2016-11-28,4857.02085290,-0.00266861,-0.00267217,4823.46817108,0.14936529,-0.01078375,Bull,Bull,Bull
2016-11-29,4873.20931539,0.00333300,0.00332746,4825.01093764,0.14958130,-0.00748669,Bull,Bull,Bull
